Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Venues
Range Loss for Deep Face Recognition with Long-Tailed Training Data, Xiao Zhang; Zhiyuan Fang; Yandong Wen; Zhifeng Li; Yu Qiao,"Guangdong Provincial Key Lab. of Comput. Vision & Vitrual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Guangdong Provincial Key Lab. of Comput. Vision & Vitrual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Tencent AI Lab., Shenzhen, China; NA; Guangdong Provincial Key Lab. of Comput. Vision & Vitrual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China",2017 IEEE International Conference on Computer Vision (ICCV),,2017,,,5419,5428,"Deep convolutional neural networks have achieved significant improvements on face recognition task due to their ability to learn highly discriminative features from tremendous amounts of face images. Many large scale face datasets exhibit long-tail distribution where a small number of entities (persons) have large number of face images while a large number of persons only have very few face samples (long tail). Most of the existing works alleviate this problem by simply cutting the tailed data and only keep identities with enough number of examples. Unlike these work, this paper investigated how long-tailed data impact the training of face CNNs and develop a novel loss function, called range loss, to effectively utilize the tailed data in training process. More specifically, range loss is designed to reduce overall intrapersonal variations while enlarge interpersonal differences simultaneously. Extensive experiments on two face recognition benchmarks, Labeled Faces in the Wild (LFW) [11] and YouTube Faces (YTF) [33], demonstrate the effectiveness of the proposed range loss in overcoming the long tail effect, and show the good generalization ability of the proposed methods.",,,10.1109/ICCV.2017.578,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237840,,Face;Training;Face recognition;Data models;Training data;Computer vision,convolution;face recognition;neural nets,Labeled Faces in the Wild;long-tail distribution;face images;highly discriminative features;face recognition task;convolutional neural networks;long-tailed training data;deep face recognition;face recognition benchmarks;face CNNs,,89,,38,,,,,IEEE,IEEE Conferences,ICCV
RPAN: An End-to-End Recurrent Pose-Attention Network for Action Recognition in Videos,Wenbin Du; Yali Wang; Yu Qiao,"Shenzhen Coll. of Adv. Technol., Univ. of Chinese Acad. of Sci., Shenzhen, China; Guangdong Provincial Key Lab. of Comput. Vision & Virtual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Guangdong Provincial Key Lab. of Comput. Vision & Virtual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China",2017 IEEE International Conference on Computer Vision (ICCV),,2017,,,3745,3754,"Recent studies demonstrate the effectiveness of Recurrent Neural Networks (RNNs) for action recognition in videos. However, previous works mainly utilize video-level category as supervision to train RNNs, which may prohibit RNNs to learn complex motion structures along time. In this paper, we propose a recurrent pose-attention network (RPAN) to address this challenge, where we introduce a novel pose-attention mechanism to adaptively learn pose-related features at every time-step action prediction of RNNs. More specifically, we make three main contributions in this paper. Firstly, unlike previous works on pose-related action recognition, our RPAN is an end-to-end recurrent network which can exploit important spatial-temporal evolutions of human pose to assist action recognition in a unified framework. Secondly, instead of learning individual human-joint features separately, our pose-attention mechanism learns robust human-part features by sharing attention parameters partially on the semantically-related human joints. These human-part features are then fed into the human-part pooling layer to construct a highly-discriminative pose-related representation for temporal action modeling. Thirdly, one important byproduct of our RPAN is pose estimation in videos, which can be used for coarse pose annotation in action videos. We evaluate the proposed RPAN quantitatively and qualitatively on two popular benchmarks, i.e., Sub-JHMDB and PennAction. Experimental results show that RPAN outperforms the recent state-of-the-art methods on these challenging datasets.",,,10.1109/ICCV.2017.402,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237664,,Videos;Robustness;Heating systems;Computer vision;Recurrent neural networks;Pose estimation;Image recognition,feature extraction;image motion analysis;pose estimation;recurrent neural nets;video signal processing,RPAN;Recurrent Neural Networks;RNNs;video-level category;complex motion structures;pose-attention mechanism;time-step action prediction;pose-related action recognition;human-joint features;robust human-part features;attention parameters;human-part pooling layer;temporal action modeling;action videos;recurrent pose-attention network,,55,,54,,,,,IEEE,IEEE Conferences,ICCV
Single Shot Text Detector with Regional Attention, Pan He; Weilin Huang; Tong He; Qile Zhu; Yu Qiao; Xiaolin Li,"Nat. Sci. Found. Center for Big Learning, Univ. of Florida, Gainesville, FL, USA; Dept. of Eng. Sci., Univ. of Oxford, Oxford, UK; Guangdong Provincial Key Lab. of Comput. Vision & Virtual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Nat. Sci. Found. Center for Big Learning, Univ. of Florida, Gainesville, FL, USA; Guangdong Provincial Key Lab. of Comput. Vision & Virtual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China; Nat. Sci. Found. Center for Big Learning, Univ. of Florida, Gainesville, FL, USA",2017 IEEE International Conference on Computer Vision (ICCV),,2017,,,3066,3074,"We present a novel single-shot text detector that directly outputs word-level bounding boxes in a natural image. We propose an attention mechanism which roughly identifies text regions via an automatically learned attentional map. This substantially suppresses background interference in the convolutional features, which is the key to producing accurate inference of words, particularly at extremely small sizes. This results in a single model that essentially works in a coarse-to-fine manner. It departs from recent FCN-based text detectors which cascade multiple FCN models to achieve an accurate prediction. Furthermore, we develop a hierarchical inception module which efficiently aggregates multi-scale inception features. This enhances local details, and also encodes strong context information, allowing the detector to work reliably on multi-scale and multi-orientation text with single-scale images. Our text detector achieves an F-measure of 77% on the ICDAR 2015 benchmark, advancing the state-of-the-art results in [18, 28]. Demo is available at: http://sstd.whuang.org/.",,,10.1109/ICCV.2017.331,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237593,,Detectors;Convolutional codes;Predictive models;Heating systems;Computer vision;Interference,convolution;feature extraction;natural scenes;neural nets;text detection,single shot text detector;regional attention;word-level bounding boxes;natural image;attention mechanism;text regions;background interference;convolutional features;hierarchical inception module;single-scale images;attentional map;FCN-based text detectors;multiscale inception features;Fully Convolutional Network,,115,,38,,,,,IEEE,IEEE Conferences,ICCV
Detecting Faces Using Inside Cascaded Contextual CNN, Kaipeng Zhang; Zhanpeng Zhang; Hao Wang; Zhifeng Li; Yu Qiao; Wei Liu,"NA; NA; NA; NA; Guangdong Provincial Key Lab. of Comput. Vision & Virtual Reality Technol., Shenzhen Inst. of Adv. Technol., Shenzhen, China; NA",2017 IEEE International Conference on Computer Vision (ICCV),,2017,,,3190,3198,"Deep Convolutional Neural Networks (CNNs) achieve substantial improvements in face detection in the wild. Classical CNN-based face detection methods simply stack successive layers of filters where an input sample should pass through all layers before reaching a face/non-face decision. Inspired by the fact that for face detection, filters in deeper layers can discriminate between difficult face/non-face samples while those in shallower layers can efficiently reject simple non-face samples, we propose Inside Cascaded Structure that introduces face/non-face classifiers at different layers within the same CNN. In the training phase, we propose data routing mechanism which enables different layers to be trained by different types of samples, and thus deeper layers can focus on handling more difficult samples compared with traditional architecture. In addition, we introduce a two-stream contextual CNN architecture that leverages body part information adaptively to enhance face detection. Extensive experiments on the challenging FD-DB and WIDER FACE benchmarks demonstrate that our method achieves competitive accuracy to the state-of-the-art techniques while keeps real time performance.",,,10.1109/ICCV.2017.344,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237606,,Face detection;Training;Integrated circuits;Feature extraction;Routing;Computer architecture;Testing,convolution;face recognition;image classification;image enhancement;learning (artificial intelligence);neural nets,detection methods;deeper layers;shallower layers;face samples;face decision;nonface decision;inside cascaded contextual CNN;nonface samples;face classifiers;nonface classifiers;deep convolutional neural networks;face detection enhancement;WIDER FACE benchmarks;two-stream contextual CNN architecture,,25,,32,,,,,IEEE,IEEE Conferences,ICCV
RankSRGAN: Generative Adversarial Networks with Ranker for Image Super-Resolution,Wenlong Zhang; Yihao Liu; Chao Dong; Yu Qiao,,2019 IEEE International Conference on Computer Vision (ICCV),,2019,,,,,,,,RankSRGAN Generative Adversarial Networks with Ranker for Image Super-Resolution,,,,,,,,3,,,,,,,,,ICCV
LAP-Net: Level-Aware Progressive Network for Image Dehazing,Yunan Li; Qiguang Miao; Wanli Ouyang; Zhenxin Ma; Huijuan Fang; Chao Dong; Yining Quan,,2019 IEEE International Conference on Computer Vision (ICCV),,2019,,,,,,,,LAP-Net Level-Aware Progressive Network for Image Dehazing,,,,,,,,0,,,,,,,,,ICCV
DF2Net: A Dense-Fine-Finer Network for Detailed 3D Face Reconstruction,Xiaoxing Zeng; Xiaojiang Peng; Yu Qiao,,2019 IEEE International Conference on Computer Vision (ICCV),,2019,,,,,,,,DF2Net A Dense-Fine-Finer Network for Detailed 3D Face Reconstruction,,,,,,,,0,,,,,,,,,ICCV
Super-Identity Convolutional Neural Network for Face Hallucination,Kaipeng Zhang;Zhanpeng Zhang;Chia-Wen Cheng;Winston H. Hsu;Yu Qiao;Wei Liu;Tong Zhang,,,,2018,,,,,,,,10.1007/978-3-030-01252-6,,,Face hallucination;Super identity;Domain-integrated training;Convolutional neural networks ,,,,,18,,,,,,,,,ECCV
Find and Focus: Retrieve and Localize Video Events with Natural Language Queries,Dian Shao;Yu Xiong;Yue Zhao;Qingqiu Huang;Yu Qiao;Dahua Lin,,,,2018,,,,,,,,10.1007/978-3-030-01240-3,,,,,,,,7,,,,,,,,,ECCV
Temporal Segment Networks: Towards Good Practices for Deep Action Recognition,Limin Wang;Yuanjun Xiong;Zhe Wang;Yu Qiao;Dahua Lin;Xiaoou Tang;Luc Van Gool,,,,2016,,,,,,,,10.1007/978-3-319-46484-8_2,,,Action recognition; Temporal segment networks; Good practices; ConvNets ,,,,,1168,,,,,,,,,ECCV
Detecting Text in Natural Image with Connectionist Text Proposal Network, Zhi Tian; Weilin Huang; Tong He; Pan He; Yu Qiao;,,,,2016,,,,,,,,10.1007/978-3-319-46484-8_4,,,Scene text detection; Convolutional network; Recurrent neural network; Anchor mechanism ,,,,,326,,,,,,,,,ECCV
A Discriminative Feature Learning Approach for Deep Face Recognition,Yandong Wen; Kaipeng Zhang; Zhifeng Li; Yu Qiao,,,,2016,,,,,,,,10.1007/978-3-319-46478-7,,,Convolutional neural networks; Face recognition; Discriminative feature learning; Center loss ,,,,,1189,,,,,,,,,ECCV
Robust Scene Text Detection with Convolution Neural Network Induced MSER Trees, Weilin Huang; Yu Qiao; Xiaoou Tang,,,,2014,,,,,,,,10.1007/978-3-319-10593-2,,,Maximally Stable Extremal Regions (MSERs); convolutional neural network (CNN); text-like outliers; sliding-window ,,,,,284,,,,,,,,,ECCV
Video Action Detection with Relational Dynamic-Poselets, Limin Wang; Yu Qiao; Xiaoou Tang,,,,2014,,,,,"Action detection is of great importance in understanding human motion from video. Compared with action recognition, it not only recognizes action type, but also localizes its spatiotemporal extent. This paper presents a relational model for action detection, which first decomposes human action into temporal ¡°key poses¡± and then further into spatial ¡°action parts¡±. Specifically, we start by clustering cuboids around each human joint into dynamic-poselets using a new descriptor. The cuboids from the same cluster share consistent geometric and dynamic structure, and each cluster acts as a mixture of body parts. We then propose a sequential skeleton model to capture the relations among dynamic-poselets. This model unifies the tasks of learning the composites of mixture dynamic-poselets, the spatiotemporal structures of action parts, and the local model for each action part in a single framework. Our model not only allows to localize the action in a video stream, but also enables a detailed pose estimation of an actor. We formulate the model learning problem in a structured SVM framework and speed up model inference by dynamic programming. We conduct experiments on three challenging action detection datasets: the MSR-II dataset, the UCF Sports dataset, and the JHMDB dataset. The results show that our method achieves superior performance to the state-of-the-art methods on these datasets.",,,10.1007/978-3-319-10602-1,,,Action detection; dynamic-poselet; sequential skeleton model,,,,,105,,,,,,,,,ECCV
Action Recognition with Stacked Fisher Vectors,Xiaojiang Peng;Changqing Zou;Yu Qiao;Qiang Peng,,,,2014,,,,,,,,10.1007/978-3-319-10602-1_38,,,Action recognition; Fisher vectors; stacked Fisher vectors; max-margin dimensionality reduction ,,,,,312,,,,,,,,,ECCV
Boosting VLAD with Supervised Dictionary Learning and High-Order Statistics,Xiaojiang Peng; Limin Wang; Yu Qiao; Qiang Peng,,,,2014,,,,,,,,10.1007/978-3-319-10578-9,,,Visual Word; Action Recognition; Local Descriptor; Sparse Code; Convolutional Neural Network,,,,,68,,,,,,,,,ECCV
SpiderCNN: Deep Learning on Point Sets with Parameterized Convolutional Filters,Yifan Xu;Tianqi Fan;Mingye Xu;Long Zeng;Yu Qiao,,,,2018,,,,,,,,10.1007/978-3-030-01237-3_6,,,Convolutional neural network; Parametrized convolutional filters; Point clouds ,,,,,80,,,,,,,,,ECCV
Learning a Deep Convolutional Network for Image Super-Resolution,Chao Dong;Chen Change Loy;Kaiming He;Xiaoou Tang,,,,2014,,,,,,,,10.1007/978-3-319-10593-2_13,,,Super-resolution; deep convolutional neural networks ,,,,,1940,,,,,,,,,ECCV
Accelerating the super-resolution convolutional neural network,Chao Dong;Chen Change Loy;Xiaoou Tang,,,,2016,,,,,,,,10.1007/978-3-319-46475-6_25,,,Mapping Layer; Deep Model; Interpolation Kernel; Convolution Filter; Convolution Layer ,,,,,734,,,,,,,,,ECCV
Esrgan: Enhanced super-resolution generative adversarial networks,Xintao Wang;Ke Yu;Shixiang Wu;Jinjin Gu;Yihao Liu;Chao Dong;Yu Qiao;Chen Change Loy,,,,2018,,,,,,,,10.1007/978-3-030-11021-5_5,,,,,,,,199,,,,,,,,,ECCV
Multi-region two-stream R-CNN for action detection,Xiaojiang Peng;Cordelia Schmid,,,,2016,,,,,,,,10.1007/978-3-319-46493-0_45,,,Action detection; Faster R-CNN; Multi-region CNNs; Two stream R-CNN ,,,,,186,,,,,,,,,ECCV
